RID;Sample;ParticipantId
47000;2002753017;41029
47001;2002713407;41379
47004;2002752997;41259
47005;2002753021;41979
47006;2002753053;41381
47007;2002713432;41074
47008;2002713384;41363
47009;2002753031;34405
47011;2002753032;41757
47012;2002688628;41470
47013;2002713431;41428
47014;2002753055;41035
47015;2002713360;41392
47016;2002753040;40954
47017;2002753018;42766
47018;2002753080;41349
47019;2002753068;41414
47020;2002713349;41425
47021;2002753077;42952
47022;2002753079;39959
47023;2002713433;38457
47024;2002713374;41436
47025;2002753045;41486
47026;2002713434;41508
47027;2002753030;41509
47029;2002713397;41484
47089;2002713421;42427
47091;2002753070;40382
47092;2002752993;41609
47093;2002713373;41489
47094;2002713409;41139
47095;2002753022;41520
47096;2002752994;41429
47097;2002753005;41539
47098;2002752995;38779
47099;2002713361;41256
47100;2002753078;41445
47101;2002713408;41476
47102;2002713398;41525
47103;2002752996;41430
47104;2002713410;41240
47105;2002713386;41497
47106;2002713385;41391
47107;2002753064;41418
47108;2002713422;41397
47109;2002753063;41368
47110;2002713362;41473
47111;2002753019;41513
47193;2002688749;41667
47194;2002688700;41402
47195;2002688737;41551
47196;2002688677;42559
47197;2002688512;41421
47198;2002688726;41426
47199;2002688759;41395
47200;2002688536;41215
47203;2002688488;41533
47204;2002688712;41350
47205;2002688676;41555
47206;2002688487;41597
47207;2002688686;41450
47208;2002688760;41456
47209;2002688748;41714
47210;2002688713;41515
47211;2002688511;42320
47213;2002688746;40195
47304;2002688690;41511
47305;2002688702;40825
47306;2002688736;40827
47307;2002688698;41455
47308;2002688735;41548
47309;2002688757;41581
47311;2002688687;41258
47312;2002688725;41716
47356;2002689171;41669
47359;2000786151;41674
47361;2002689197;41409
47362;2002689192;41390
47363;2002689172;41493
47364;2002689146;41373
47365;2002689237;41505
47366;2002689219;41454
47367;2002689191;41660
47368;2002689183;41503
47369;2002689186;41662
47370;2002689127;40866
47463;2000927385;41512
47465;2000927348;41795
47466;2000927285;41474
47467;2000927340;40526
47468;2000927299;41465
47469;2000927315;42986
47471;2000927345;41657
47472;2000927347;43139
47473;2000927341;40366
47474;2000927322;41052
47475;2000927361;41469
47476;2000927269;41806
47477;2000927339;41588
47478;2000927318;40965
47479;2000927276;40614
47480;2000927270;41639
47481;2000927316;41101
47482;2000927286;41801
47483;2000927324;41753
47562;2000927446;41804
47563;2000927275;40870
47564;2000927358;41656
47565;2000927333;41617
47566;2000927409;41737
47568;2000927363;41863
47569;2000927351;41668
47570;2002688499;41538
47572;2000927397;41556
47573;2000927327;41750
47574;2000927386;41883
47577;2000927323;41542
47578;2000927305;42025
47579;2000927328;41536
47583;2002688500;41519
47584;2000927398;41937
47586;2000927306;41570
47587;2000927373;41828
47663;2002688548;42409
47664;2002688767;40094
47665;2002688705;41740
47666;2002688562;41851
47667;2002688684;40058
47668;2002688720;30699
47669;2002688571;41865
47671;2002688743;41434
47672;2002688694;40170
47673;2002688561;37060
47674;2002688732;27813
47676;2002688693;41710
47677;2002688719;42410
47678;2002688753;41836
47679;2002688764;41098
47680;2002688513;41521
47681;2002688696;43005
47682;2002688514;41446
47683;2002688765;41867
47685;2002688730;41733
47686;2002688681;40732
47687;2002688729;41709
47688;2002688549;41707
47689;2002688547;41372
47770;2002688756;42653
47771;2002688727;43031
47772;2002688755;42529
47774;2002688524;42572
47776;2001806430;41779
47777;2002688560;41935
47778;2002688751;42428
47779;2002688538;41912
47780;2002688715;40650
47781;2001806382;41838
47782;2002688691;41949
47783;2002688728;41491
47784;2002688523;41927
47785;2002688752;40876
47786;2002688559;41687
47787;2002688692;41774
47789;2002688706;41679
47790;2002688572;41589
47791;2002688704;42515
47803;2001806429;40973
47804;2001806381;41910
47805;2001806367;41872
47806;2001806395;41913
47807;2001806406;41565
47808;2001806368;41893
47809;2001806347;42677
47810;2001806358;40823
47812;2001806357;41908
47874;2002689097;41854
47875;2002689139;42017
47876;2002689109;43178
47877;2002689111;41850
47878;2002689062;41990
47880;2002689077;41100
47881;2002689074;42070
47882;2002689227;41855
47884;2002689100;41991
47885;2002689076;41367
47886;2002689239;41775
47887;2002689061;41720
47888;2002689150;42059
47889;2002689102;41151
47891;2002689136;42465
47892;2002689110;41947
47893;2002689086;41906
47894;2002689140;41844
47896;2002689240;42008
47897;2002689138;41791
47932;2001806427;41606
47933;2001806370;41980
47934;2001806344;42031
47935;2001806391;42038
47936;2002753060;41993
47937;2001806416;42019
47939;2001806392;41616
47940;2001806346;40640
47941;2001806418;41295
47942;2002753083;41966
47943;2001806379;41972
47944;2001806417;41915
47946;2001806343;41815
47947;2001806403;41482
47948;2001806404;42051
47949;2001806356;40393
48001;2002753062;42027
48002;2002753059;41540
48003;2002753038;42128
48004;2002753052;41651
48005;2002753037;41333
48006;2002753075;41853
48007;2002753082;40899
48008;2002753074;41777
48010;2002753035;42047
48011;2002753081;41884
48012;2002753010;42075
48013;2002753051;42081
48014;2002752999;41862
48017;2002753034;42268
48018;2002753084;42073
48020;2002753013;42108
48021;2002753061;41930
48022;2002753009;41547
48023;2002753014;42446
48024;2002753048;41735
48025;2002753028;40602
48026;2002753044;41868
48027;2002753057;43187
48079;2002689149;41989
48080;2002689143;41974
48082;2000786185;41940
48083;2002689099;42088
48084;2000786178;41772
48085;2002689137;42103
48086;2002689134;41950
48087;2002689121;42112
48088;2000786209;41666
48089;2002689180;41871
48090;2000786176;43315
48091;2002689091;41810
48092;2002689079;40949
48093;2002689147;41736
48095;2002689088;41939
48097;2000786210;41676
48098;2002689144;41875
48099;2002689075;41951
48115;2002689165;41673
48116;2000786163;42133
48117;2002689064;41933
48118;2000786207;41840
48119;2002689236;42096
48120;2000786168;41541
48121;2002689154;41813
48122;2002689166;41886
48123;2002689113;41999
48124;2000786180;40040
48125;2002689178;41543
48126;2002689065;42165
48127;2000786200;41803
48128;2002689115;40878
48183;2000927546;41338
48185;2000927486;43345
48187;2000927521;42023
48188;2000927534;42175
48189;2000927498;42120
48190;2000927545;42156
48191;2000927461;41943
48192;2000927473;42238
48194;2000927485;42119
48195;2000927512;42173
48197;2000927509;40052
48198;2000927462;41857
48199;2000931770;42098
48201;2000931735;42049
48204;2000927487;42880
48238;2002734680;41932
48239;2002689068;43012
48240;2000786150;41879
48241;2002689090;41925
48242;2002689063;42022
48245;2002689103;42148
48246;2002734703;41821
48247;2000786198;41531
48248;2002689223;42147
48249;2000786155;42158
48251;2002689226;41957
48252;2000786179;41942
48253;2002689133;42003
48267;2002266452;42192
48268;2002266461;42157
48269;2002266415;41998
48270;2002266380;42145
48271;2002266440;41769
48273;2002266416;42197
48274;2002266392;42064
48275;2002266439;42106
48276;2002266379;43189
48277;2002266427;41585
48278;2002266391;41846
48279;2002266404;40951
48280;2002266403;42004
48316;2000927382;43528
48320;2000927393;41678
48323;2000927369;42186
48324;2000927452;42312
48325;2000927430;42246
48326;2000927406;42080
48327;2000931633;42142
48328;2000927441;42137
48329;2000931585;42208
48330;2000931610;42072
48331;2000927442;42254
48332;2000927451;42163
48333;2000927394;41788
48334;2000927428;42084
48335;2000927417;42259
48336;2000931634;41971
48337;2000931680;42181
48382;2000931358;42101
48383;2000931321;42282
48384;2000931300;42351
48386;2000931324;42217
48387;2000931334;42474
48388;2000931345;42166
48389;2000931347;42258
48390;2000931323;42134
48391;2000931312;41278
48392;2000931311;41934
48393;2000931357;42261
48394;2000931369;42487
48395;2000931348;42359
48397;2000931297;42311
48398;2000931371;42315
48399;2000931370;42060
48401;2000931322;42558
48402;2000931333;42257
48403;2000931346;42355
48404;2000931299;42458
48405;2000931298;41914
48408;2000931309;42105
48461;2000785810;42253
48462;2000785786;42310
48463;2000785764;42189
48465;2000785788;40889
48466;2000785846;40880
48467;2000785763;43086
48468;2000785833;42155
48469;2000785821;42135
48470;2000785834;42383
48473;2000785773;42347
48475;2000785809;41463
48476;2000785797;42328
48477;2000785845;42222
48478;2000785775;42224
48479;2000785798;42199
48480;2000785836;43019
48481;2000785822;42337
48482;2000785774;42083
48484;2000785787;42434
48485;2000785811;43492
48487;2000785835;41995
48488;2000785761;42252
48489;2000785762;42216
48534;2002289673;42291
48535;2002289686;43557
48536;2002289638;42396
48537;2002289674;42325
48539;2002289602;41996
48540;2002289685;42430
48541;2002289601;43431
48542;2002289603;43254
48544;2002289637;42250
48546;2002730617;42334
48547;2002730594;42431
48548;2002730527;42210
48549;2002730618;42453
48550;2002730522;42363
48551;2002730503;42364
48552;2002730528;42233
48553;2002730569;42481
48554;2002730593;42193
48555;2002730570;42384
48556;2002730504;42358
48600;2002738577;41744
48601;2002738519;42504
48604;2002738525;42243
48605;2002738501;42505
48606;2002738592;42321
48607;2002738584;41441
48608;2002738542;41955
48609;2002738505;42552
48610;2002738580;42362
48611;2002738591;42488
48612;2002738588;41544
48613;2002738541;41711
48615;2002738566;42288
48616;2002738556;42114
48617;2002738590;42568
48618;2002738568;40868
48619;2002738543;42542
48687;2002730347;42274
48688;2002730344;42520
48689;2002730405;42448
48690;2002730403;41243
48691;2002730404;42184
48692;2002730429;42264
48693;2002730345;40443
48694;2002730406;43164
48695;2002730382;42309
48697;2002730380;42563
48698;2002730355;42518
48699;2002730418;42564
48700;2002730381;42067
48701;2002730356;42578
48702;2002730370;42393
48703;2002730417;43240
48704;2002730416;42493
48705;2002730430;43198
48706;2002730369;42395
48707;2002730379;41573
48708;2002730358;42527
48709;2002730427;42537
48710;2002730357;42544
48711;2002730346;42394
48712;2002730428;43622
48713;2002730393;42228
48714;2002730394;42484
48715;2002738480;42509
48716;2002724570;42414
48717;2002738432;42345
48718;2002738407;42187
48719;2002724545;42636
48720;2002724569;38656
48721;2002738431;42590
48722;2002738479;42482
48723;2002738456;42503
48724;2002738420;38131
48725;2002738408;42317
48726;2002738419;42490
48727;2002738455;40753
48762;2002738321;41290
48763;2002738319;41578
48764;2002738368;41174
48765;2002738322;42437
48766;2002738343;42594
48767;2002738334;36965
48768;2002738357;42614
48769;2002738367;42726
48770;2002738355;42303
48771;2002738381;42584
48772;2002738320;42697
48773;2002738379;42404
48774;2002738382;42691
48776;2002738345;30775
48777;2002738392;42403
48778;2002738391;42570
48779;2002738356;42174
48780;2002738380;42762
48781;2002738346;41640
48782;2002738310;42729
48783;2002738333;40576
48831;2002738260;42262
48832;2002738246;42470
48833;2002738212;42794
48834;2002738270;42823
48835;2002738269;37977
48836;2002738223;42632
48837;2002738258;42361
48838;2002738222;42920
48839;2002738283;42159
48840;2002738211;42591
48841;2002738293;42922
48842;2002738233;42943
48843;2002738209;42265
48844;2002738221;42938
48845;2002738245;42234
48846;2002738234;42951
48847;2002738259;42836
48848;2002738224;42942
48849;2002738281;41631
48851;2002738282;41824
48852;2002738257;42713
48853;2002738284;42720
48854;2002738294;42575
48855;2002738236;43055
48856;2002738210;42683
48857;2002738235;42770
48912;2002738060;42728
48914;2002738083;42369
48915;2002738074;42780
48916;2002738097;42588
48917;2002738098;42665
48918;2002738049;42582
48919;2002738050;42601
48920;2002738036;42421
48921;2002733143;42719
48922;2002738059;42602
48924;2002738107;41969
48925;2002738035;42597
48926;2002738108;42571
48927;2002738025;42610
48928;2002738086;42769
48929;2002738037;40333
48930;2002733216;42707
48931;2002733192;42667
48932;2002738073;42821
48933;2002738085;42535
48934;2002738026;41378
48997;2002738040;42604
48998;2002738081;43234
48999;2002732786;42739
49000;2002738057;42618
49001;2002732749;41205
49002;2002738088;42496
49003;2002732750;42471
49004;2002738112;42817
49005;2002732762;42314
49006;2002738082;42791
49007;2002738063;42756
49008;2002738087;42703
49009;2002738058;42450
49010;2002732785;40657
49011;2002738064;34530
49012;2002738111;42672
49013;2002732810;42318
49014;2002732761;42402
49016;2002732809;42809
49017;2002738034;42700
49018;2002738039;42624
49019;2002738105;42744
49037;2002725447;42595
49038;2002725520;42420
49039;2002725496;42748
49040;2002725448;42583
49041;2002725516;42742
49042;2002780250;40698
49043;2002725471;42749
49044;2002725495;42957
49045;2002725472;42511
49046;2002725519;41487
49047;2002780226;42616
49048;2002725503;43749
49049;2002780249;42219
49050;2002725446;42585
49093;2002709056;42878
49094;2002709091;42727
49095;2002709116;41517
49096;2002709080;42015
49097;2002709082;41370
49098;2002709103;43685
49099;2002709045;42087
49100;2002709104;34146
49101;2002709068;42832
49102;2002709081;43381
49103;2002709106;43684
49104;2002709092;42670
49105;2002709067;42898
49106;2002709032;41985
49107;2002709058;43151
49108;2002709043;41394
49109;2002709033;43707
49110;2002709034;40994
49111;2002709046;42787
49112;2002709055;42560
49113;2002709031;42929
49154;2002709734;42996
49156;2002709781;42188
49157;2002709697;42900
49158;2002709709;42797
49159;2002709698;43625
49160;2002709757;42854
49161;2002709733;41776
49162;2002709712;32505
49163;2002709700;42714
49164;2002709758;42526
49166;2002709722;42577
49167;2002709745;42517
49168;2002709723;42295
49169;2002709772;42109
49170;2002709699;40786
49171;2002709771;42688
49172;2002709747;42876
49173;2002709746;40303
49174;2002709782;42869
51080;2003041081;43967
51081;2003041010;43909
51082;2003041061;44382
51084;2003041021;44061
51085;2003041022;43747
51086;2003041033;44060
51087;2003041049;44437
51088;2003041069;38627
51089;2003041045;44368
51090;2003041058;43899
51091;2002985431;44032
51092;2003041046;44533
51141;2003035439;42673
51142;2003035486;44301
51143;2003035498;42078
51144;2003035497;42864
51145;2003035452;44252
51146;2003035462;44233
51147;2003035499;43221
51148;2003035485;44369
51149;2003035500;44286
51150;2003035474;44294
51151;2003035463;34997
51152;2003035451;44281
51153;2003035475;36422
51154;2003035440;43888
51155;2002970254;40654
51156;2002970325;44635
51157;2002970253;44234
51158;2002970301;44660
51160;2002970314;44442
51188;2002970271;44088
51189;2002970284;43871
51190;2002970307;44269
51191;2002970329;38261
51192;2002970296;42808
51193;2002970283;44669
51195;2002970330;44362
51196;2002970320;44661
51197;2002970305;44134
51199;2002970259;44650
51228;2003042694;44334
51229;2003042671;43752
51230;2003043572;43761
51231;2003043511;44322
51232;2003042718;43938
51233;2003042695;44034
51234;2003043535;44373
51235;2003042719;44249
51236;2003043512;44288
51237;2003040896;44276
51265;2002970162;39871
51266;2002970234;44155
51267;2002970185;44343
51268;2002970161;44106
51269;2002970222;44015
51270;2002970198;41809
51271;2002970186;44009
51272;2002970233;44725
51273;2002970210;43788
51274;2002970209;44508
51316;2003040854;44038
51317;2003040853;42502
51362;2003040842;44072
51363;2003040817;44465
51364;2003040841;44657
51365;2003040818;44284
51366;2003040865;44188
51367;2003040878;44716
51395;2002985752;42956
51396;2002985728;44602
51397;2002985703;44646
51398;2002985704;44161
51399;2002985715;42985
51400;2002985775;44727
51401;2002985786;44728
51402;2002985751;44662
51403;2002985727;44736
51404;2002985776;44844
51436;2002985661;44313
51437;2002985662;44282
51438;2002985613;43891
51439;2002985638;37108
51440;2002985685;35083
51441;2002985614;44665
51442;2002985637;44734
51484;2002870812;43162
51485;2002870830;44175
51486;2002870811;44702
51487;2002870869;44689
51488;2002870870;43479
51489;2002870788;44908
52208;2000927143;45208
52209;2000927065;45233
52211;2000927131;45125
52212;2000927156;45389
52213;2000927150;45594
52218;2002229372;45322
